Date,Open,High,Low,Close,Volume
9/20/2011,1101.3,1149.9,1099,1143.9,1521823
9/21/2011,1143.1,1161,1130.25,1156.6,2574644
9/22/2011,1131,1135.9,1107,1112.4,1995895
9/23/2011,1100.1,1115.95,1065.4,1086.85,2740795
9/26/2011,1083.4,1084.4,1038.3,1056,2716021
9/27/2011,1074,1095,1065,1088,1919494
9/28/2011,1091,1096,1065.45,1072.7,2016743
9/29/2011,1064,1080.5,1055.1,1069.75,2185228
9/30/2011,1062.2,1063,1010.6,1018.9,2927004
10/3/2011,1003,1005,980,988.5,1993982
10/4/2011,984.4,996.4,951,959.75,3228348
10/5/2011,972,975,945.2,952,2180747
10/7/2011,977.15,1038.5,977.15,1030.3,2544501
10/10/2011,1030,1055,1016.85,1048.85,1471142
10/11/2011,1060.25,1080.85,1045,1052.75,1847144
10/12/2011,1056,1099.9,1038.2,1093.35,2482882
10/13/2011,1100,1108,1080,1086.55,3075951
10/14/2011,1075.55,1110,1075.55,1103.35,2172836
10/17/2011,1111.9,1132.8,1108.25,1121.85,1809829
10/18/2011,1100,1105.05,1077.25,1097.55,2051977
10/19/2011,1105,1135,1104.7,1132.75,1162310
10/20/2011,1116,1136,1100.1,1130.6,1475784
10/21/2011,1136.8,1139.9,1122.3,1127.7,1419262
10/24/2011,1158.1,1189.1,1153.1,1168.55,2955520
10/24/2011,1158.1,1189.1,1153.1,1168.55,2955520
10/25/2011,1172.25,1194,1110,1117.75,6108295
10/26/2011,1127,1134.9,1119,1122.95,431323
10/28/2011,1161,1182.8,1145.55,1150.5,4092836
10/31/2011,1150,1164.05,1141.5,1159.35,2049629
11/1/2011,1150,1156.3,1130.1,1135.95,1140433
11/2/2011,1124,1139.85,1117.2,1125.95,1674048
11/3/2011,1119.9,1130,1102.3,1115.85,1720967
11/4/2011,1135.8,1145,1123.65,1128.5,1851582
11/8/2011,1139,1153.9,1129.3,1140.35,1569232
11/9/2011,1149,1150.1,1103.5,1112.3,1802188
11/11/2011,1103,1112.65,1052,1057,2915291
11/14/2011,1073,1081,1046.3,1049.5,1272332
11/15/2011,1044,1051,998.2,1008.4,2133285
11/16/2011,1008.5,1021.1,977.9,1006.15,2686166
11/17/2011,1004,1009.5,981.05,985.55,2210100
11/18/2011,978.1,980.8,940,964.2,3491717
11/21/2011,960,971.2,943.15,947,1995224
11/22/2011,951.5,958.9,930.3,947,3334177
11/23/2011,937,942.8,921.1,937.1,2621078
11/24/2011,940,964.7,935.65,957.25,3037875
11/25/2011,954.95,977.85,945.45,967.25,1811853
11/28/2011,981.2,997,974.6,991.4,1553023
11/29/2011,993,1001.7,965.25,975.8,1970083
11/30/2011,961,974.8,936,947.65,2602878
12/1/2011,985.1,998.7,963.1,972.6,2635162
12/2/2011,978.65,1012,965.55,1005.95,2623926
12/5/2011,1005,1036.05,992.6,1032.15,2508512
12/7/2011,1033,1052.45,1029.45,1039.55,1873993
12/8/2011,1035,1041.95,995,1003.4,2323242
12/9/2011,981.35,1012.9,978.2,991.9,2175543
12/12/2011,1005,1008,967.25,970.4,1516382
12/13/2011,962,974,940.35,959.9,2545664
12/14/2011,959,981,950.55,959.15,2421874
12/15/2011,948,952.15,934,949.1,2268610
12/16/2011,955,964,895,904.05,4109418
12/19/2011,897.95,897.95,828,849.05,3714298
12/20/2011,857.7,857.7,808.85,820.3,3895799
12/21/2011,845.2,859,832.35,854.3,2397846
12/22/2011,842.25,878.3,840.4,873.65,3090876
12/23/2011,885,896,865.65,879.95,2932357
12/26/2011,880,891,867,872,1706610
12/27/2011,872.4,872.8,839.8,845.25,1742237
12/28/2011,841,841,820.1,832.6,1947165
12/29/2011,824.45,837.9,808,815.55,2785022
12/30/2011,816,827.45,803.3,808.1,2032545
1/2/2012,810,815,784,794.8,1945453
1/3/2012,805.1,841.9,803.65,837.55,2142010
