Date,Open,High,Low,Close,Volume
2011-09-28,2480,2540,2452.5,2470.25,2507720
2011-09-29,2482,2569.95,2471.25,2551.1,2907043
2011-09-30,2531.9,2564,2508.2,2533.05,1341332
2011-10-03,2490,2518,2467.7,2475.9,1235641
2011-10-04,2452.2,2481.75,2413.6,2438.5,979810
2011-10-05,2457.95,2499,2428.1,2446.95,1346482
2011-10-07,2560,2574.9,2487.65,2508.7,2307216
2011-10-10,2545,2600.9,2528.4,2589.95,2118304
2011-10-11,2593.4,2595,2490,2504.55,2792406
2011-10-12,2595,2688,2595,2679.35,4329213
2011-10-13,2719,2729,2685,2696.7,2255192
2011-10-14,2711.1,2756.7,2686.3,2743.75,2450124
2011-10-17,2761.1,2764.9,2720.2,2746.55,1768187
2011-10-18,2699.9,2725,2687.7,2701.55,1314767
2011-10-19,2722,2735,2701.1,2727.75,1266915
2011-10-20,2692,2757,2687.55,2747.55,696710
2011-10-21,2747.55,2749,2707,2722.65,857289
2011-10-24,2750,2774.8,2741.2,2767.3,759449
2011-10-24,2750,2774.8,2741.2,2767.3,759449
2011-10-25,2811,2899,2811,2858.7,1959698
2011-10-26,2861.9,2869.95,2831.4,2838.65,228612
2011-10-28,2921,2971.35,2845.05,2858.65,3108598
2011-10-31,2856,2897.75,2856,2877.55,1286453
2011-11-01,2840,2874.1,2818,2836.6,988274
2011-11-02,2820,2853.9,2817.4,2834.4,664732
2011-11-03,2834,2842,2767.2,2802.1,1347453
2011-11-04,2845,2850.9,2791.55,2825.95,955461
2011-11-08,2815.05,2848,2790.85,2842.1,763417
2011-11-09,2845,2867.25,2825,2835.3,834956
2011-11-11,2610.7,2807.7,2610.7,2775.7,1180153
2011-11-14,2810.15,2832.4,2798,2808.8,579130
2011-11-15,2800.1,2820,2781.55,2798.3,637253
2011-11-16,2795,2804,2758.3,2778.3,819081
2011-11-17,2768.3,2789,2732.9,2753.5,795873
2011-11-18,2731.05,2764.45,2720,2740.8,592237
2011-11-21,2720,2734.85,2626.3,2670.1,1170724
2011-11-22,2600,2764.9,2600,2724,1857439
2011-11-23,2675,2689.55,2617.35,2652.65,1599102
2011-11-24,2641,2684,2586.6,2666.2,1653972
2011-11-25,2655,2655,2591,2599.7,1002816
2011-11-28,2620.05,2649.9,2612.45,2636.15,911276
2011-11-29,2622.2,2628.05,2581.25,2597.95,1332421
2011-11-30,2581,2625,2561,2606.85,1455029
2011-12-01,2674,2690.85,2630.6,2655.35,1015651
2011-12-02,2651,2715.45,2647.9,2694.15,1181426
2011-12-05,2690,2717.75,2675.2,2701.15,933523
2011-12-07,2705,2772.4,2684.05,2758.95,1008799
2011-12-08,2747,2758,2696.1,2723.45,911948
2011-12-09,2668.15,2739.8,2660.2,2710.3,1321344
2011-12-12,2719.9,2756,2697.8,2740.25,1378225
2011-12-13,2731.3,2764.9,2708.7,2752.2,1206042
2011-12-14,2750,2767.25,2725,2740.25,1232204
2011-12-15,2726.3,2734.35,2665,2716.35,1256646
2011-12-16,2695,2788.8,2691.95,2724.5,1708661
2011-12-19,2690,2703.55,2655.8,2676.4,1508054
2011-12-20,2690,2698.15,2651.1,2668.75,1310576
2011-12-21,2719,2754.8,2680,2743,1052865
2011-12-22,2650,2748,2650,2720.85,1588392
2011-12-23,2740,2740,2683.25,2694.75,880662
2011-12-26,2691,2787,2691,2775.85,529571
2011-12-27,2765,2799,2736.25,2759.4,772275
2011-12-28,2769,2804,2751.55,2782,856406
2011-12-29,2758,2774.9,2731.05,2742.1,1104646
2011-12-30,2744,2775,2741.5,2767.65,663602
2012-01-02,2759.2,2816.65,2742,2808.95,728272
2012-01-03,2824.1,2886.95,2820,2864.3,1112876
2012-01-04,2845,2875,2841.05,2854.4,917678
2012-01-05,2839.2,2876,2831.45,2840.15,890659
2012-01-06,2838,2867.6,2811.1,2832.15,885954
2012-01-07,2838.9,2851.5,2828.05,2835.2,95521
2012-01-09,2847.5,2866.3,2817.2,2836.55,1033223
2012-01-10,2870,2875.4,2850.2,2863.6,1397397
2012-01-11,2868,2894.9,2813,2826.6,1724475
2012-01-12,2750,2750,2578.05,2588.25,6121325
2012-01-13,2618,2619,2552.25,2584.2,2612368
2012-01-16,2581.25,2644,2579.1,2640.15,1648592
2012-01-17,2650,2672.8,2633.85,2662.05,1092553
2012-01-18,2644,2644,2585,2612.05,1212553
2012-01-19,2616,2622.8,2576.6,2594.7,1206542
2012-01-20,2596,2609.7,2576.3,2588.8,1454464
2012-01-23,2590,2615.5,2589,2600.3,645108
2012-01-24,2618,2639.6,2595,2620.8,706651
2012-01-25,2635,2675,2625,2665.8,1318170
2012-01-27,2702,2735,2686.2,2725,1527359
